LC 53 Maximum Subarray			Kadane's Algo
LC 75. Sort Colors.txt			Dutch National Flag Algo
LC 56. Merge Intervals			Shell Sort (Gap method)
LC 287. Find the Duplicate Number	Linked List Slow-Fast pointers
LC 74. Search a 2D Matrix		Binary Search
LC 50. Pow(x, n)			Binary Exponentiation (Fast exp)
LC 169. Majority Element		Moore's Voting Algo (for n/2)
LC 229. Majority Element II		Extended Moore's Voting Algo (for n/3)
LC 62. Unique Paths			Recursion & Dynamic Programming
GFG Flattening a Linked List		Resursion
GFG Topological sort			Kahn's Algo
CN Ninja's Training			2D DP
